Nagios enterprise,https://www.nagios.com/
Zabbix enterprise,http://www.zabbix.com/
Ganglia,http://ganglia.info/
Zenoss enterprise,https://www.zenoss.com/
Opserver,http://opserver.org/
Icinga,https://www.icinga.org/
Naemon,http://www.naemon.org/
Shinken,http://www.shinken-monitoring.org/
Centreon,https://www.centreon.com
Opsview,https://www.opsview.com/
Check_mk,http://mathias-kettner.de/check_mk.html
cabot github,https://github.com/arachnys/cabot
pagerduty,https://www.pagerduty.com/
monitoring-plugins,https://www.monitoring-plugins.org/
arguspy,https://github.com/crazy-canux/arguspy
check_wmi_plus.pl,http://www.edcint.co.nz/checkwmiplus/
OSX-Monitoring-Tools,https://github.com/jedda/OSX-Monitoring-Tools
zplugin,https://github.com/crazy-canux/zplugin
NRPE_NT SF,https://sourceforge.net/projects/nrpent/
NSCP,http://nsclient.org/
MK OMD,http://omdistro.org/
NSCA-ng,http://www.nsca-ng.org/
NRDP github,https://github.com/NagiosEnterprises/nrdp
DNX,http://dnx.sourceforge.net/
gearman,http://gearman.org/
op5 merlin,https://kb.op5.com/display/MERLIN/Distributed+%28Merlin%29+Home
op5 Ninja,https://kb.op5.com/display/GUI/GUI+%28Ninja%29+Home
consol thruk,http://www.thruk.org/
nagdash github,https://github.com/lozzd/Nagdash
nagstamon,https://nagstamon.ifw-dresden.de/
coffeesaint,https://www.vanheusden.com/java/CoffeeSaint/
nagmap github,https://github.com/hecko/nagmap/
nagvis,http://www.nagvis.org/
realopinsight,http://realopinsight.com/
rrdtool,http://oss.oetiker.ch/rrdtool/
statsd github,https://github.com/etsy/statsd
graphios github,https://github.com/shawn-sterling/graphios
ledbetter github,https://github.com/github/ledbetter
nagflux github,https://github.com/Griesbacher/nagflux
pnp4nagios,http://docs.pnp4nagios.org/
Graphite web github,https://github.com/graphite-project/graphite-web
nconf,http://www.nconf.org/dokuwiki/doku.php
adagios,http://adagios.org/
dokuwiki,https://www.dokuwiki.org/dokuwiki/
BP,http://bp-addon.monitoringexchange.org/
NSTI github,https://github.com/NagiosEnterprises/nsti
pynag,http://pynag.org/
nagiosharder github,https://github.com/railsmachine/nagiosharder
nagrestconf,http://nagrestconf.smorg.co.uk/
cucumber,http://cucumber-nagios.org/
nagios-herald,https://codeascraft.com/2014/06/06/introducing-nagios-herald/
collectd,http://collectd.org/
falcon-plus github,https://github.com/open-falcon/falcon-plus
beats github,https://github.com/elastic/beats
fluent-bit,https://github.com/fluent/fluent-bit
influxdata,https://influxdata.com
OpenTSDB,http://opentsdb.net/
kairosDB,http://kairosdb.github.io/
elasticsearch,https://www.elastic.co/cn/products/elasticsearch
javamelody github,https://github.com/javamelody/javamelody
kamon github,https://github.com/kamon-io/Kamon
x-pack,https://www.elastic.co/cn/products/x-pack
Bosun,http://bosun.org/
kibana github,https://github.com/elastic/kibana
opentelementry,https://opentelemetry.io/
zipkin github,https://github.com/openzipkin/zipkin
Jaeger,https://www.jaegertracing.io/) 
pinpoint github,https://github.com/pinpoint-apm/pinpoint
skywalking,https://skywalking.apache.org/
super-devops,http://super-devops.readthedocs.io/en/latest/
go-devops,https://godoc.org/github.com/crazy-canux/go-devops
AWS CloudWatch,https://aws.amazon.com/cloudwatch/
Prometheus,https://prometheus.io/
StackDriver,https://cloud.google.com/stackdriver/
Sensu,https://sensu.io/
Sentry,https://sentry.io/welcome/
CopperEgg,https://www.idera.com/infrastructure-monitoring-as-a-service
Crashlytics,https://fabric.io/kits/android/crashlytics
Kapacitor,https://www.influxdata.com/time-series-platform/kapacitor/
loggly,https://www.loggly.com/
logmatic,https://logmatic.io/
Logstash,https://www.elastic.co/products/logstash
MongoDB Atlas,https://www.mongodb.com/cloud/atlas
MongoDB Cloud Manager,https://www.mongodb.com/cloud/cloud-manager
NewRelic,https://newrelic.com/
Papertrail,https://papertrailapp.com/
Pingdom,https://tools.pingdom.com/
ServerDensity,https://www.serverdensity.com/
InsightOps,https://www.rapid7.com/products/insightops/
